title,description,Technology,Winners,Image_URL,URL,primary_category,secondary_category,summary
Baoziswap - Live Staking Pool,Maintaining and Developing a Great and Sustainable Ecosystem on Tron Blockchain with Baoziswap Staking Pool,"react, solidity, typescript",Winner,No Image,https://devpost.com/software/baoziswap-live-staking-pool,Blockchain/Web3,FinTech (Financial Technology),"Baoziswap is a live staking pool project focused on maintaining and developing a sustainable ecosystem on the Tron Blockchain, aiming to provide a great experience for users through its staking pool."
Ambu@Call - your medicare amigo!,"The ocean of lives!
Because we believe that your beloved matters..","api, bootstrap, css, html, javascript",Winner,No Image,https://devpost.com/software/ambu-call-your-medicare-amigo,Bio-Tech/Health-Tech,Mobile Apps,Ambu
CogniPath,"Cognipath: Transforming education with smart use of Data & AI. Featuring AI-driven storytelling, real-time conversations, and tools that engage and support all learners, including children with ASD.","bootstrap, css, firebase, flask, gemini, google-cloud, html, javascript, python",Winner,No Image,https://devpost.com/software/cognipath,EduTech (Educational Technology),AI/Artificial Intelligence,"CogniPath is an innovative educational project that utilizes AI and data to transform the learning experience, featuring AI-driven storytelling, real-time conversations, and supportive tools for all learners, including children with ASD."
Study+,"A productive, portable, pragmatic educational platform to interconnect students currently studying for their GCSE's.",,No Award,No Image,https://devpost.com/software/study-1g65v4,EduTech (Educational Technology),Mobile Apps,"Study+ is a portable educational platform designed to interconnect students studying for their GCSEs, providing a productive and pragmatic learning environment."
AI Powered Hot Car Death Prevention,This setup includes an AI based IOT edge device that can detect and notify people when an infant is left in a hot car.,"azure, azure-iot-suite, c#, python",Winner,No Image,https://devpost.com/software/intelligent-infant-hot-car-death-prevention,IoT (Internet of Things),AI/Artificial Intelligence,"This project involves an AI-powered IoT edge device designed to detect and notify individuals when an infant is left in a hot car, utilizing artificial intelligence to prevent hot car deaths."
ATHENA Art Assistant,ATHENA is an AI-driven assistant that supports users interested in Art. ATHENA is an assistant that promotes and creates art  by women and is itself created by an all women team: the AI Wonder Girls.,"aispeech, lstm, natural-language-processing, python, recommender-systems, streamlit, style-transfer",Winner,No Image,https://devpost.com/software/athena-art-assistant,AI/Artificial Intelligence,Digital Art,"ATHENA is an AI-driven assistant that promotes and creates art by women, developed by an all-women team, the AI Wonder Girls, to support users interested in art."
Curie Wireless Sensor Network,Intel Curie based WSN System for Scalable Distributed Control System in Satellites and Launch Vehicles,"2.4-inch-serial-lcd-display-with-storage, 3d-printing, arduino-101, avionics, broadcom-wiced-sense-kit, cubesat, embedded-c, gps, intel-curie, intel-edison, launch-vehicle-technology, magnetometer, sensor-interfacing, servo-motors",No Award,No Image,https://devpost.com/software/curie-wireless-sensor-network,IoT (Internet of Things),Embedded Systems,"The Curie Wireless Sensor Network is a scalable distributed control system designed for satellites and launch vehicles, utilizing Intel Curie-based Wireless Sensor Network (WSN) technology to enable efficient and reliable data exchange and control in these complex systems."
Appointment Management Framework,"This is a framework to automate and manage the entire appointment process for any organisation ensuring zero-contact, queue-less process as well as adding intelligence data to help the discussion.",pega,No Award,No Image,https://devpost.com/software/appointment-management-framework,AI/Artificial Intelligence,Data Science/Analytics,"The Appointment Management Framework is a comprehensive system designed to automate and manage the appointment process for organizations, utilizing intelligence data to facilitate informed discussions and ensuring a zero-contact, queue-less experience."
Lightning Network enabled Vending Machine,"Vue.js application for accepting Bitcoin Lightning payments, using the OpenNode API, and notifying the iozeta CryptoVend.","amazon, html, javascript, node.js, opennode-fire-iozeta-cryptovend, vue",Winner,FinTech (Financial Technology),IoT (Internet of Things),"A Vue.js application enables a vending machine to accept Bitcoin Lightning payments through the OpenNode API and notifies the iozeta CryptoVend, facilitating seamless and secure transactions."
Email Notifications Digest,Group JIRA email notifications and send them as a digest at a scheduled date/time,"atlassian-sdk, java",Winner,Web Apps,Data Science/Analytics,"The Email Notifications Digest project involves grouping JIRA email notifications and sending them as a digest at a scheduled date and time, streamlining communication and potentially utilizing data analysis to optimize notification delivery."
Lightning Network enabled Vending Machine,"Vue.js application for accepting Bitcoin Lightning payments, using the OpenNode API, and notifying the iozeta CryptoVend.","amazon, html, javascript, node.js, opennode-fire-iozeta-cryptovend, vue",Winner,No Image,https://devpost.com/software/cryptovend-tablet-ui,FinTech (Financial Technology),Blockchain/Web3,"A Vue.js application enables Bitcoin Lightning payments for a vending machine, utilizing the OpenNode API and notifying the iozeta CryptoVend, facilitating fast and secure transactions."
Email Notifications Digest,Group JIRA email notifications and send them as a digest at a scheduled date/time,"atlassian-sdk, java",Winner,No Image,https://devpost.com/software/email-notifications-digest,Web Apps,Cloud Computing,"The Email Notifications Digest project involves grouping JIRA email notifications and sending them as a digest at a scheduled date and time, streamlining communication and enhancing productivity by consolidating updates into a single, periodically sent email."
Lightning Network enabled Vending Machine,"Vue.js application for accepting Bitcoin Lightning payments, using the OpenNode API, and notifying the iozeta CryptoVend.","amazon, html, javascript, node.js, opennode-fire-iozeta-cryptovend, vue",Winner,No Image,https://devpost.com/software/cryptovend-tablet-ui,FinTech (Financial Technology),Blockchain/Web3,"A Vue.js application enables a vending machine to accept Bitcoin Lightning payments through the OpenNode API, integrating with iozeta CryptoVend for seamless transaction notifications."
Email Notifications Digest,Group JIRA email notifications and send them as a digest at a scheduled date/time,"atlassian-sdk, java",Winner,No Image,https://devpost.com/software/email-notifications-digest,Web Apps,Data Science/Analytics,"The Email Notifications Digest project involves grouping JIRA email notifications and sending them as a digest at a scheduled date/time, streamlining communication and enhancing productivity by providing a consolidated overview of updates in a single email."
Lightning Network enabled Vending Machine,"Vue.js application for accepting Bitcoin Lightning payments, using the OpenNode API, and notifying the iozeta CryptoVend.","amazon, html, javascript, node.js, opennode-fire-iozeta-cryptovend, vue",Winner,//d112y698adiu2z.cloudfront.net/photos/production/software_photos/000/815/597/datas/gallery.jpg,https://devpost.com/software/cryptovend-tablet-ui,FinTech (Financial Technology),IoT (Internet of Things),"A Vue.js application enables a vending machine to accept Bitcoin Lightning payments through the OpenNode API and notifies the iozeta CryptoVend, integrating financial technology with internet-connected devices."
Email Notifications Digest,Group JIRA email notifications and send them as a digest at a scheduled date/time,"atlassian-sdk, java",Winner,//d112y698adiu2z.cloudfront.net/photos/production/software_photos/000/520/292/datas/gallery.jpg,https://devpost.com/software/email-notifications-digest,Web Apps,Cloud Computing,"The Email Notifications Digest project involves grouping JIRA email notifications and sending them as a digest at a scheduled date and time, streamlining communication and reducing email clutter for users."
